,Date,Team,TeamRank,TeamRating,Score,Opponent,OppRank,OppRating,RatingDiff,GameTo15VictoryMargin
848,2020-01-25,Oregon,60,1358,"Score(team_a=15, team_b=4)",Portland State,183.0,450.0,908.0,11.0
851,2020-01-26,Oregon,60,1358,"Score(team_a=11, team_b=5)",Oregon State,130.0,869.0,489.0,8.181818181818182
852,2020-02-15,Oregon,60,1358,"Score(team_a=9, team_b=10)",Massachusetts,61.0,1335.0,23.0,-1.5
859,2020-02-17,Oregon,60,1358,"Score(team_a=9, team_b=6)",Southern California,88.0,1138.0,220.0,5.0
879,2020-02-09,Penn State,62,1333,"Score(team_a=8, team_b=6)",Appalachian State,106.0,1052.0,281.0,3.75
882,2020-01-25,Liberty,63,1330,"Score(team_a=11, team_b=6)",West Virginia,175.0,515.0,815.0,6.8181818181818175
883,2020-01-26,Liberty,63,1330,"Score(team_a=10, team_b=6)",Georgetown,108.0,1029.0,301.0,6.0
886,2020-02-15,Liberty,63,1330,"Score(team_a=9, team_b=10)",Temple,80.0,1235.0,95.0,-1.5
888,2020-02-15,Liberty,63,1330,"Score(team_a=10, team_b=3)",Mary Washington,128.0,877.0,453.0,10.5
889,2020-02-16,Liberty,63,1330,"Score(team_a=8, team_b=6)",Connecticut,104.0,1057.0,273.0,3.75
893,2020-03-07,Liberty,63,1330,"Score(team_a=13, team_b=4)",Rhode Island,163.0,580.0,750.0,10.384615384615383
894,2020-03-07,Liberty,63,1330,"Score(team_a=7, team_b=9)",Haverford/Bryn Mawr,81.0,1217.0,113.0,-3.3333333333333335
895,2020-03-07,Liberty,63,1330,"Score(team_a=9, team_b=5)",Cincinnati,94.0,1098.0,232.0,6.666666666666667
896,2020-03-07,Liberty,63,1330,"Score(team_a=9, team_b=3)",SUNY-Fredonia,190.0,371.0,959.0,10.0
898,2020-03-08,Liberty,63,1330,"Score(team_a=13, team_b=3)",RIT,228.0,-83.0,1413.0,11.538461538461537
899,2020-03-08,Liberty,63,1330,"Score(team_a=13, team_b=6)",Haverford/Bryn Mawr,81.0,1217.0,113.0,8.076923076923077
900,2020-02-29,Mississippi,64,1327,"Score(team_a=8, team_b=3)",Kentucky,92.0,1112.0,215.0,9.375
901,2020-02-29,Mississippi,64,1327,"Score(team_a=8, team_b=3)",Georgia College,149.0,715.0,612.0,9.375
902,2020-02-29,Mississippi,64,1327,"Score(team_a=8, team_b=4)",Virginia Tech,67.0,1299.0,28.0,7.5
903,2020-02-29,Mississippi,64,1327,"Score(team_a=9, team_b=6)",Tennessee,91.0,1118.0,209.0,5.0
904,2020-03-01,Mississippi,64,1327,"Score(team_a=3, team_b=13)",Tennessee,91.0,1118.0,209.0,-11.538461538461537
905,2020-03-01,Mississippi,64,1327,"Score(team_a=13, team_b=5)",Alabama-Huntsville,124.0,909.0,418.0,9.23076923076923
906,2020-03-01,Mississippi,64,1327,"Score(team_a=7, team_b=9)",Virginia Tech,67.0,1299.0,28.0,-3.3333333333333335
907,2020-03-01,Bates,65,1318,"Score(team_a=10, team_b=4)",Amherst,156.0,656.0,662.0,9.0
910,2020-03-01,Bates,65,1318,"Score(team_a=7, team_b=9)",Colby,89.0,1133.0,185.0,-3.3333333333333335
911,2020-03-07,Bates,65,1318,"Score(team_a=7, team_b=5)",Temple,80.0,1235.0,83.0,4.285714285714286
912,2020-03-07,Bates,65,1318,"Score(team_a=9, team_b=7)",Colby,89.0,1133.0,185.0,3.3333333333333335
913,2020-03-07,Bates,65,1318,"Score(team_a=8, team_b=7)",Brown,87.0,1146.0,172.0,1.875
914,2020-03-08,Bates,65,1318,"Score(team_a=10, team_b=7)",Yale,109.0,1026.0,292.0,4.5
916,2020-03-08,Bates,65,1318,"Score(team_a=9, team_b=3)",Colby,89.0,1133.0,185.0,10.0
919,2020-02-08,Carleton College,1,2521,"Score(team_a=13, team_b=2)",Pacific Lutheran,107.0,1047.0,1474.0,12.692307692307692
920,2020-02-08,Carleton College,66,1316,"Score(team_a=13, team_b=2)",Pacific Lutheran,107.0,1047.0,269.0,12.692307692307692
921,2020-02-08,Carleton College,1,2521,"Score(team_a=13, team_b=2)",Sonoma State,162.0,589.0,1932.0,12.692307692307692
922,2020-02-08,Carleton College,66,1316,"Score(team_a=13, team_b=2)",Sonoma State,162.0,589.0,727.0,12.692307692307692
925,2020-02-09,Carleton College,1,2521,"Score(team_a=4, team_b=5)",California-Davis,26.0,1758.0,763.0,-3.0
927,2020-02-09,Carleton College,1,2521,"Score(team_a=9, team_b=6)",Santa Clara,136.0,823.0,1698.0,5.0
928,2020-02-09,Carleton College,66,1316,"Score(team_a=9, team_b=6)",Santa Clara,136.0,823.0,493.0,5.0
929,2020-02-09,Carleton College,1,2521,"Score(team_a=0, team_b=11)",San Diego State University,85.0,1198.0,1323.0,-14.999999999999998
930,2020-02-09,Carleton College,66,1316,"Score(team_a=0, team_b=11)",San Diego State University,85.0,1198.0,118.0,-14.999999999999998
931,2020-02-22,Carleton College,1,2521,"Score(team_a=13, team_b=2)",Macalester,178.0,491.0,2030.0,12.692307692307692
